"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"193",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"194",1972,0,0,1,0,0,0,0,4,"Strong Republican"
"195",1972,0,0,0,0,0,1,0,6,"Lean Democrat"
"196",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"197",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"198",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"199",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"200",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"201",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"202",1972,0,1,0,0,0,0,0,2,NA
"203",1972,0,1,0,0,0,0,0,2,"Independent"
"204",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"205",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"206",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"207",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"208",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"209",1972,0,0,0,0,0,0,0,NA,"Moderate Republican"
"210",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"211",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"212",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"213",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"214",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"215",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"216",1972,0,0,0,1,0,0,0,3,"Moderate Democrat"
"217",1972,0,0,0,1,0,0,0,3,"Moderate Republican"
"218",1972,0,0,0,1,0,0,0,3,NA
"219",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"220",1972,0,0,0,1,0,0,0,3,"Strong Democrat"
"221",1972,1,0,0,0,0,0,0,1,NA
"222",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"223",1972,0,0,1,0,0,0,0,4,"Strong Republican"
"224",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"225",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"226",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"227",1972,0,1,0,0,0,0,0,2,"Strong Republican"
"228",1972,0,0,0,0,0,0,1,7,"Moderate Republican"
"229",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"230",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"231",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"232",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"233",1972,0,1,0,0,0,0,0,2,"Lean Republican"
"234",1972,0,1,0,0,0,0,0,2,"Lean Democrat"
"235",1972,0,1,0,0,0,0,0,2,"Moderate Republican"
"236",1972,1,0,0,0,0,0,0,1,"Independent"
"237",1972,0,0,0,0,0,0,1,7,"Independent"
"238",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"239",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"240",1972,1,0,0,0,0,0,0,1,NA
"241",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"242",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"243",1972,1,0,0,0,0,0,0,1,"Strong Democrat"
"244",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"245",1972,1,0,0,0,0,0,0,1,"Moderate Democrat"
"246",1972,1,0,0,0,0,0,0,1,"Lean Democrat"
"247",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"248",1972,0,1,0,0,0,0,0,2,"Moderate Democrat"
"249",1972,1,0,0,0,0,0,0,1,"Lean Republican"
"250",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"251",1972,0,1,0,0,0,0,0,2,"Strong Democrat"
"252",1972,0,0,1,0,0,0,0,4,"Moderate Republican"
"253",1972,0,0,1,0,0,0,0,4,"Independent"
"254",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"255",1972,0,0,1,0,0,0,0,4,"Moderate Democrat"
"256",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"257",1972,0,0,1,0,0,0,0,4,"Lean Democrat"
"258",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"259",1972,0,0,1,0,0,0,0,4,"Strong Democrat"
"260",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
"261",1972,0,0,0,0,0,0,1,7,"Strong Democrat"
"262",1972,0,0,0,0,0,0,1,7,"Strong Democrat"
"263",1972,0,0,0,0,0,0,1,7,"Lean Democrat"
"264",1972,1,0,0,0,0,0,0,1,NA
"265",1972,1,0,0,0,0,0,0,1,"Moderate Republican"
